年カテゴリ,年代,タイトル,説明,緯度,経度,画像
,88BC-63BC,ミトリダテス戦,小アジア、ポントス王とローマのミトリダテス戦争。スラ、ポンペイウス鎮圧に当たる。,39.9042,116.4074,none
,87BC,漢武帝死去,漢の武帝が死去。,39.9042,116.4074,none
-100,82BC,スラ独裁開始,ローマでスラが独裁官となる。,41.9028,12.4964,none
,75BC,サータヴァーハナ朝,インドのサータヴァーハナ朝、デカン高原西部を抑える。,16.3504,78.5187,none
-100,73BC-71BC,スパルタクス反乱,スパルタクスの反乱起きる。剣闘士奴隷の反抗、全ローマの奴隷反乱に広がる。,41.9028,12.4964,none
,64BC,シリア滅亡,ポンペイウス、東方遠征、セレウコス朝シリア滅亡。,36.2115,37.1327,none
,63BC,ハスモン朝降伏,ユダヤのハスモン朝、ローマに敗れ、パレスチナがローマの支配を受ける。,31.7683,35.2137,none
,63BC,キケロ陰謀暴露,キケロがコンスルに就任。カティリーナ陰謀事件を暴く。,41.9028,12.4964,none
,60BC,匈奴東西分裂,匈奴の内紛始まる。匈奴の東西分裂。,39.9042,116.4074,none
-100,60BC-49BC,第1三頭政治,第１回三頭政治。ポンペイウス、クラッスス、カエサル。,41.9028,12.4964,none
,59BC,西域都護設置,漢が西域都護を置く。,39.9042,116.4074,none
-100,58BC-51BC,カエサル遠征開始,カエサル、ガリア遠征に出発。『ガリア戦記』,41.9028,12.4964,none
,55BC,初のブリテン島,カエサル、はじめてブリテン島に渡る。,51.5074,-0.1278,none
,54BC,匈奴が降伏,この頃匈奴の呼韓邪単于、漢に降る。東匈奴。,39.9042,116.4074,none
,53BC,クラッスス戦死,クラッスス、パルティアとのカルラエの戦いで戦死。,37.4467,46.3405,none
,52BC,ガリア反乱鎮圧,カエサル、ガリアの反乱を鎮圧。,41.9028,12.4964,none
-100,49BC,ルビコン越え,カエサル、ルビコンを渡り、ローマに進軍。,41.9028,12.4964,none
,48BC,アレクサンドリア炎上,カエサル、アレクサンドリアを焼き討ち。ムセイオン焼け落ちる。,31.2156,29.9553,none
,47BC,クレオパトラ即位,クレオパトラ(7世)、プトレマイオス朝エジプトの女王となる。,29.9244,31.2001,none
,46BC,カエサル凱旋,カエサル、ローマに凱旋、10年任期の独裁官となる。,41.9028,12.4964,none
,45BC,ユリウス暦制定,カエサル、ユリウス暦を制定。,41.9028,12.4964,none
-100,44BC,カエサル暗殺,カエサル、終身の独裁官となるも、ブルートゥスらによって暗殺される。,41.9028,12.4964,none
,43BC-32BC,第2三頭政治,第２回三頭政治。アントニウス、レピドゥス、オクタウィアヌス,41.9028,12.4964,none
,43BC,キケロ殺害,キケロ、アントニウスによって殺害される。,41.9028,12.4964,none
,37BC,ヘロデ王支配,ヘロデ王がユダヤを支配。,31.7683,35.2137,none
,36BC,西匈奴滅亡,西匈奴、漢の西域都護によって滅ぼされる。,39.9042,116.4074,none
-100,31BC,アクティウム海戦,アクティウムの海戦で、オクタウィアヌスがアントニウスとクレオパトラの連合軍を破る。,41.9028,12.4964,none
-100,30BC,エジプト滅亡,プトレマイオス朝エジプトの滅亡。ローマの地中海世界支配。,29.9244,31.2001,none
,27BC,アウグストゥス即位,オクタヴィアヌス、アウグストゥスとなる。ローマ帝国の初代皇帝として即位し、帝政に移行,41.9028,12.4964,none
,19BC,ウェルギリウス没,ウェルギリウス没。,41.9028,12.4964,none
,8BC,ホラティウス没,ホラティウス没。,41.9028,12.4964,none
,7BC,限田策実施,漢の哀帝、限田策を実施。,39.9042,116.4074,none
-100,7BC,イエス誕生説,イエスが生まれる。（諸説あり）,31.7683,35.2137,none
-100,前1世紀,アクスム王国成立,この頃までにエチオピアにアクスム王国が成立。,15.3218,38.7269,none
-100,前1世紀,扶南成立始まる,末頃、インドシナ半島南部に扶南成立。東南アジアのインド化始まる。,10.7264,104.9225,none
,6,パレスチナ属州化,ローマ、パレスチナを属州とする。,31.7683,35.2137,none
,8,王莽、新を建国,外戚の王莽、帝位を奪い新を建てる。,39.9042,116.4074,none
,8,オウィディウス追放,オウィディウス、ローマから追放される。,41.9028,12.4964,none
,9,トイトブルク敗戦,ローマ軍、トイトブルクの戦いでゲルマン軍に敗れる。,51.1333,9.95,none
100,14,アウグストゥス死去,アウグストゥス死去。ティベリウスが二代皇帝に。,41.9028,12.4964,none
,18,赤眉の乱勃発,赤眉の乱起こる。～27,34.3775,108.9396,none
100,25,光武帝、後漢建国,劉秀が即位して光武帝となり後漢を建てる。都洛陽,34.6833,112.4333,none
,30,イエス処刑,イエス、処刑される。,31.7683,35.2137,none
,40,徴姉妹の反乱,ベトナムで徴姉妹の反乱起こる。,14.0583,108.2772,none
,41,カリグラ暗殺,ローマ皇帝カリグラ（即位37年）、殺害される。,41.9028,12.4964,none
,43,ブリタニア属州化,ローマ、ブリテン島を征服。属州ブリタニアとする。,51.5074,-0.1278,none
,48,南匈奴降伏,南匈奴が漢に降る。,41.0022,87.5535,none
,51,パウロ伝道,パウロ、ローマ帝国でキリスト教伝道。,41.9028,12.4964,none
100,57,奴国王、金印授かる,倭人の奴国王、後漢の光武帝に遣使。金印を授かる。,35.6895,139.6917,none
100,1世紀中頃,クシャーナ朝成立,北インドにクシャーナ朝が成立。都プルシャプラ。,34.0333,73.0333,none
,1世紀,季節風貿易繁盛,中頃、インド、ローマ間の季節風貿易さかんになる。『エリュトゥラー海案内記』が編まれる。,26.9124,75.7873,none
,60,ブリタニア暴動,ブリタニアで反ローマ暴動。,51.5074,-0.1278,none
,64,ペテロ殉教,ネロ、ローマの大火を口実にキリスト教徒を迫害。ペテロらが殉教。,41.9028,12.4964,none
,65,セネカ自殺,哲学者セネカ、ネロ帝に死を命じられ自殺。,41.9028,12.4964,none
100,66,ユダヤ戦争開始,ユダヤ戦争始まる（～74）。ユダヤ人の離散始まる。,31.7683,35.2137,none
,68,ネロ自殺,ネロ帝、自殺する。,41.9028,12.4964,none
,69,ウェスパシアヌス即位,ローマ皇帝ウェスパシアヌス。～79,41.9028,12.4964,none
,70,イェルサレム破壊,ローマ軍、イェルサレムを破壊。,31.7683,35.2137,none
100,73,班超、西域遠征,後漢の班超が西域に遠征。,35.8625,104.1954,none
,79,ポンペイ埋没,ポンペイ、ヴェスヴィオ火山噴火で埋没。プリニウス被災。,40.7497,14.486,none
,80,コロッセウム完成,ティトウス帝の時、ローマのコロッセウム完成する。,41.9028,12.4964,none
,82,『漢書』完成,班固の『漢書』がこの頃完成。,34.6833,112.4333,none
,91,班超西域都護就任,後漢、班超を西域都護に任命。,35.8625,104.1954,none
100,96-180,五賢帝時代,ローマ帝国、五賢帝の時代。,41.9028,12.4964,none
,96,ネルウァ皇帝即位,ネルウァ皇帝となる（～98）。,41.9028,12.4964,none
,97,甘英、西方派遣,後漢の甘英を西方に派遣。安息国を通り、条支国に達する。,34.6833,112.4333,none
,98,トラヤヌス時代繁栄,トラヤヌス帝。ローマ帝国領、最大となる。～117,41.9028,12.4964,none
,98,タキトゥス没,タキトゥス没、『ゲルマニア』刊行。,41.9028,12.4964,none
100,1世紀,東南アジア交易,この頃東南アジア、ローマと交易。扶南のオケオ遺跡,13.4085,103.8176,none
100,1世紀,大乗仏教起こる,インドで大乗仏教が起こる。仏像が作られるようになる。,20.5937,78.9629,none
,1-3世紀,ガンダーラ美術,北インドのガンダーラで仏教美術栄える。,34,73,none
200,101,トラヤヌス遠征,トラヤヌス、ダキア遠征を開始（～106）。属州とする。,45.9432,24.9668,none
200,105,蔡倫、紙を作る,後漢の蔡倫が紙を作ったとされる（後漢書）。,34.6833,112.4333,none
200,106-130,サータヴァーハナ朝繁栄,デカン高原のサータヴァーハナ朝、都プラティシュターナ。クシャーナ朝と対抗。,18.5204,73.8567,none
,107,倭国、朝貢,倭国王の帥升、生口１６０人を後漢に朝貢。,35.6895,139.6917,none
,114,トラヤヌス東遠征,トラヤヌスの東方遠征開始（～117年）。パルティアからアルメニア・メソポタミアを奪う。,41.9028,12.4964,none
200,117,ハドリアヌス即位,ローマ帝国、ハドリアヌス帝が即位（～138）。,41.9028,12.4964,none
,118,パンテオン再建,ハドリアヌス帝、ローマのパンテオンの再建に着手。,41.9028,12.4964,none
200,121,『説文解字』完成,中国最古の字典『説文解字』、この頃完成。,34.6833,112.4333,none
,122,ハドリアヌス長城,ハドリアヌス帝、ブリタニアに長城を築く。,51.5074,-0.1278,none
200,130-170,カニシカ王全盛,北西インドのクシャーナ朝、カニシカ王の許で全盛期に。,34,73,none
200,131-135,第２次ユダヤ戦争,ハドリアヌス、第２次ユダヤ戦争。,51.5074,-0.1278,none
200,138,アントニヌス即位,ローマ、アントニヌス＝ピウス帝（～161）。,41.9028,12.4964,none
,2世紀,ナーガールジュナ理論,中頃　クシャーナ朝でナーガールジュナが大乗仏教理論を大成。,34,73,none
200,161,アウレリウス即位,マルクス＝アウレリウス＝アントニヌスが即位（～180）。『自省録』を著す。,41.9028,12.4964,none
,166,大秦王安敦来訪,大秦王安敦（ローマ皇帝か）の使者、日南郡に来る。,21.2969,111.4693,none
,166,党錮の禁発生,後漢で宦官と党人（官僚）の争い激化し党錮の禁が起こる。,34.6833,112.4333,none
,169,第２次党錮の禁,後漢で第二次党錮の禁起こる。,34.6833,112.4333,none
,180,アウレリウス陣没,マルクス＝アウレリウス＝アントニヌス、ゲルマン人と戦い、ウィンドボナ付近で陣没。,48.2082,16.3733,none
200,184,黄巾の乱勃発,後漢で黄巾の乱起こる。,34.6833,112.4333,none
,189,後漢滅亡へ,後漢の霊帝死去。後漢、滅亡に向かう。,34.6833,112.4333,none
,192,チャンパー独立,チャム人が後漢から独立。後にチャンパー王国となる。,14.1724,108.2076,none
,196,曹操、屯田制,曹操が後漢の献帝を保護。屯田制をしく。,34.7361,113.0293,none
200,200,『マヌ法典』成立,この頃までにインドで『マヌ法典』が作られる。,20.5937,78.9629,none
,205,帯方郡設置,遼東太守公孫氏、楽浪郡の南を割いて帯方郡を置く。,39.9097,124.3487,none
,207,劉備、諸葛迎える,劉備、諸葛孔明を三顧の礼で迎える。,30.5728,104.0668,none
,208,赤壁の戦い,赤壁の戦い。曹操と孫権・劉備連合軍の戦い。天下三分の形勢となる。,29.8335,113.0515,none
300,209,高句麗建国へ,高句麗、丸都城を築く（実質的な建国）。,41.744,126.438,none
300,212,アントニヌス勅令,カラカラ帝、アントニヌス勅令を制定。万民法,41.9028,12.4964,none
,216,マニの誕生,イランでマニが生まれる。,32.6546,51.6689,none
300,216,曹操、魏王就任,曹操、魏王となる。,34.7986,113.6496,none
300,216,ローマ浴場建設,カラカラ帝、ローマに大公共浴場を建設。,41.884,12.503,none
300,220,後漢滅亡,後漢の滅亡。献帝から禅譲を受け曹丕（文帝）即位。魏の建国。九品中正制を実施。三国時代始まる,34,112,none
,221,蜀漢の成立,劉備が蜀（蜀漢）を建てる。都は成都。,30.5728,104.0668,none
,222,呉王孫権即位,孫権が呉王となる。,32.0603,118.7969,none
300,226,ササン朝建国,アルデシール１世、ササン朝ペルシアを建国。ゾロアスター教を国教とする。,29.61,52.531,none
300,229,孫権、皇帝即位,呉王孫権が帝を称し、建業で即位。,32.0603,118.7969,none
,234,孔明、五丈原陣没,五丈原で諸葛孔明、魏に敗れ陣没。,34.2858,108.946,none
,235,軍人皇帝時代,ローマ帝国の軍人皇帝時代はじまる（～285年）。,41.9028,12.4964,none
,239,卑弥呼、魏に遣使,邪馬台国の女王卑弥呼、魏に遣使。親魏倭王となる。,33.5,130.5,none
300,249,司馬懿台頭,司馬懿、魏の実権を握る。このころから竹林の七賢の活動始まる。,30,120,none
,260,シャープールの勝利,ササン朝のシャープール１世、エデッサの戦いでローマ皇帝ウァレリアヌスを捕らえる。,,,none
,263,魏、蜀を滅ぼす,魏が蜀を滅ぼす。,30.5728,104.0668,none
300,265,晋の成立,司馬炎が、魏の帝位を奪い晋を建てる（武帝）。,34.7986,113.6496,none
,272,パルミラ滅亡,アウレリアヌス帝、パルミラを滅ぼす。,34.5553,38.2759,none
,277,マニの死去,マニが死去。,32.6546,51.6689,none
300,280,晋、中国統一,晋が呉を滅ぼし、中国を統一。,32.0603,118.7969,none
,284,ディオクレティアヌス即位,ディオクレティアヌス帝即位。,41.9028,12.4964,none
,290,八王の乱開始,晋王室の内紛始まる（八王の乱）。,34.7986,113.6496,none
,293,四分統治採用,ディオクレティアヌス、四分統治を採用。,41.9028,12.4964,none
,300,趙王が帝位奪取,晋で趙王が帝位を奪う。八王の乱が激化（～306）。異民族の中原への進出始まる。,,,none
,3世紀,チャンパー国成立,チャム人のインド化進み、チャンパー国となる。,11.9416,108.4563,none
400,301,アルメニア教会国教,アルメニア、単性説のアルメニア教会を国教とする。,40.0691,45.0382,none
,303,キリスト教迫害,ディオクレティアヌス、最後のキリスト教徒の迫害。,41.9028,12.4964,none
400,304,匈奴、前趙を建国,匈奴の劉淵が漢（前趙）を建国。五胡十六国時代始まる。,39.8255,101.9818,none
,306,コンスタンティヌス即位,コンスタンティヌス帝が即位（～337）。,41.9028,12.4964,none
,310,仏図澄、洛陽入る,インド僧仏図澄、洛陽に入る。,34.7466,112.4311,none
,311,永嘉の乱発生,永嘉の乱。匈奴が晋の都洛陽を占領。,34.7466,112.4311,none
400,312,コンスタンティヌス凱旋,コンスタンティヌス、ローマに入城。凱旋門建設。,41.9028,12.4964,none
400,313,楽浪郡滅亡,高句麗が楽浪郡を滅ぼす。,40.1417,124.2578,none
,313,ミラノ勅令公布,コンスタンティヌス大帝、ミラノ勅令でキリスト教を公認。,45.4668,9.1905,none
,314,帯方郡滅亡,高句麗が帯方郡を滅ぼす。,40.1417,124.2578,none
400,316,晋、西晋滅亡,晋（西晋）が匈奴の族長劉曜に降伏し、滅亡。,34.7466,112.4311,none
,317,東晋が建国,司馬睿、建康を都に東晋を建国。,32.0617,118.7778,none
400,320,グプタ朝成立,チャンドラグプタ１世、グプタ朝を創始。インドのグプタ紀元始まる。,25.5941,85.1376,none
,324,ローマ帝国統一,コンスタンティヌス大帝、共同統治のリキニウス帝を倒し、ローマ帝国を再統一。,41.9028,12.4964,none
,325,ニケーア公会議,ニケーア公会議、アタナシウス派を正統、アリウス派を異端とする。,41.9028,12.4964,none
400,330,遷都コンスタンティノープル,ローマ帝国、コンスタンティノポリスに遷都。,41.0082,28.9784,none
,332,コロヌス土地緊縛令,コンスタンティヌス大帝、コロヌスの土地緊縛令を出す。,41.9028,12.4964,none
,350,メロエ王国滅亡,メロエ王国がアクスム王国に滅ぼされる。,14.1827,38.8123,none
400,351,前秦、長安に建国,?の苻健、長安で前秦を建国。,34.7466,112.4311,none
,353,王羲之の蘭亭序,王羲之、蘭亭序を書く。,34.7476,112.4315,none
,361,ユリアヌス帝即位,ユリアヌス帝即位（～363）。同年、宗教寛容令を出し、キリスト教公認を取り消す。,41.9028,12.4964,none
,372,高句麗に仏教伝来,高句麗に仏教が伝わる。,40.1417,124.2578,none
,376,西ゴート大移動,西ゴート人、ドナウ川を越え、ローマに侵入。ゲルマン人の大移動始まる。,44.4166,28.2333,none
,378,アドリアノープル敗戦,ヴァレンス帝、アドリアノープルの戦いで西ゴート人と戦い敗れる。,41.0082,28.9784,none
400,380,キリスト教国教化,テオドシウス帝、キリスト教の国教化を定める。,41.9028,12.4964,none
,381,三位一体説正統化,テオドシウス帝、コンスタンティノープル公会議で三位一体説を正統とする。,41.0082,28.9784,none
,383,?水の戦い敗北,前秦の苻堅、?水の戦いで東晋に敗れる。,34.7466,112.4311,none
,384,百済に仏教伝来,百済に仏教が伝わる。,35.1412,128.0425,none
,386,北魏が建国,鮮卑の拓跋氏、北魏を建国。都は平城(398から)。,38.4144,110.9686,none
,392,新約聖書成立,キリスト教の新約聖書ほぼまとまる。,41.9028,12.4964,none
,392,異教禁止令発令,テオドシウス、異教禁止令を出しキリスト教を唯一の国教とする。,41.9028,12.4964,none
,393,古代オリンピック終了,ギリシアの古代オリンピック、この年で終わる。,37.9838,23.7275,none
,395,ローマ帝国東西分裂,テオドシウスの死によりローマ帝国、東西に分割。,41.9028,12.4964,none
,395,東ローマ帝国誕生,東ローマ帝国成立。,41.0082,28.9784,none
,396,広開土王の勝利,高句麗の広開土王、百済・倭を破る。,40.1417,124.2578,none
500,400,アウグスティヌス『告白』著す,アウグスティヌス、『告白』を著す。,41.9028,12.4964,none
500,401,鳩摩羅什、長安で経典翻訳,インド僧鳩摩羅什、長安に入る。,34.7466,112.4311,none
,402,法顕、インドで仏教収集,東晋の僧法顕がインドに滞在（～411）。,34.7466,112.4311,none
,406,ゲルマン人、ライン川渡河,ヴァンダル人などのゲルマン人諸部族がライン川を渡河。,49.6117,9.7625,none
500,409,西ローマ帝国、ブリテン放棄、ローマの支配は終結,西ローマ帝国、ブリテン島を放棄。,50.7574,-3.5123,none
,410,西ゴート、ローマ掠奪,西ゴート人のアラリックのローマ掠奪。,41.9028,12.4964,none
,414,広開土王碑、長寿王治世,高句麗の長寿王、広開土王碑を建てる。,40.1417,124.2578,none
,415,西ゴート、イベリア半島進出,西ゴート人、イベリア半島に入る。,40.4637,-3.7492,none
500,418,西ゴート王国、トロサ建国,西ゴート人、西ゴート王国を建国。都トロサ。,40.6371,-3.7415,none
,420,東晋滅び、宋王朝成立,東晋から禅譲を受けた劉裕、武帝として即位し、江南に宋を建国。,32.0617,118.7778,none
500,420,中国、南北朝時代始まる,中国、南北朝時代となる。,32.0617,118.7778,none
,421,倭の五王、宋に遣使,倭の五王の最初、讃が南朝の宋に遣使。,35.6716,139.7656,none
,426,アウグスティヌス『神の国』完成,アウグスティヌス、『神の国』を完成。,41.9028,12.4964,none
500,430,ヴァンダル人、アフリカ進出,ヴァンダル人のガイセリック、アフリカに入りヒッポでローマ軍を破る。,37.5377,-0.0834,none
500,431,エフェソス公会議、ネストリウス派異端,東ローマ皇帝が召集したエフェソス公会議でネストリウス派を異端とする。,41.0082,28.9784,none
,439,北魏、華北統一し五胡終結,北魏の太武帝、華北を統一。五胡十六国が終わる。,37.5651,105.4543,none
500,442,北魏、道教を国教化,北魏の太武帝、寇謙之の説く新天師道を信じ、道教を国教とする。,37.5651,105.4543,none
,446,北魏、廃仏と仏教弾圧開始,北魏の太武帝、廃仏を行う。三武一宗の法難の始まり。,37.5651,105.4543,none
,450,ナーランダー僧院設立,インドの仏教学院、ナーランダー僧院が創設される。,25.5941,85.1376,none
,451,アッティラ王、カタラウヌム戦敗北,フン人のアッティラ大王のヨーロッパ侵入。カタラウヌムの戦いで敗れる。,45.298,4.477,none
500,451,カルケドン公会議、単性説異端,カルケドン公会議、単性説を異端とする。,41.0082,28.9784,none
,452,アッティラ、ローマ侵入撤退,アッティラ大王、ローマに侵入。ローマ教皇レオ１世による説得で撤退。,41.9028,12.4964,none
,455,ヴァンダル、ローマ再掠奪,ヴァンダル人のガイセリック、ローマ掠奪。,41.9028,12.4964,none
,460,雲崗石窟、仏教芸術発展,北魏で雲崗の石窟寺院、開削始まる。,40.013,113.4813,none
,471,北魏、孝文帝即位,北魏の孝文帝即位。,37.5651,105.4543,none
,474,ヴァンダル、地中海支配拡大,ヴァンダル王国のガイセリック、アフリカ・シチリアその他の地中海諸島を領有。,37.5377,-0.0834,none
500,475,西ゴート、スペイン領有,西ゴート人のスペイン領有、ブルグンド人などのガリア分割。,40.4637,-3.7492,none
500,476,西ローマ、オドアケルに滅ぶ,オドアケルによって西ローマ帝国滅ぼされる。,41.9028,12.4964,none
,478,倭の五王、宋への外交終結,倭の五王と南朝宋との外交関係の終結,35.6716,139.7656,none
,479,南朝、宋から斉成立,南朝斉の成立,32.0617,118.7778,none
,481,クローヴィス、メロヴィング朝創始,フランク王国のメロヴィング朝創始,49.6117,6.13,none
,484,エフタル、ササン朝を破る,エフタルのササン朝破壊,33.6883,53.5256,none
,485,北魏、均田制を実施,均田制の実施と土地制度改革,37.5651,105.4543,none
,486,北魏、三長制改革,三長制の実施と行政改革,37.5651,105.4543,none
,493,東ゴート王国、オドアケル滅ぼす,東ゴート王国の建国とオドアケルの滅亡,41.9028,12.4964,none
,494,北魏、洛陽遷都と漢化政策,洛陽遷都と漢化政策、竜門石窟の開削,37.5651,105.4543,none
,496,クローヴィス、キリスト教に改宗,クローヴィスの改宗とメロヴィング朝のキリスト教化,49.6117,6.13,none
,5世紀,グプタ様式、仏像彫刻発展,グプタ様式の仏像彫刻の発展,25.5941,85.1376,none
,5世紀,アジャンター石窟寺院発展,アジャンター石窟寺院の発展,20.5317,75.7046,none
